policyholder_id,full_name,date_of_birth,age,gender,state,phone,email,license_years,prior_claims_count,credit_score,marital_status
PH00030,Emma Jackson,25/09/1980,44,MALE,NC,+1-595-261-5442,elena127@gmail.com,18,1,584.0,Married
PH00031,Yuki Thomas,02/07/1977,47,FEMALE,MA,4229415619,anna153@yahoo.com,29,0,724.0,Divorced
PH00032,Lisa Clark,30 Jan 2000,24,F,MD,(769) 829-8477,david11@hotmail.com,1,0,766.0,M
PH00033,David Smith,26/07/1964,60,F,MO,+1-505-421-5637,zoe657@yahoo.com,10,3,602.0,Married
PH00034,James Miller,13/01/1984,40,Male,NY,,mark333@yahoo.com,35,0,657.0,S
PH00035,Emma Clark,21/09/1997,27,m,AZ,+1-746-614-6622,maria70@outlook.com,2,2,670.0,single
PH00036,Emma Thompson,1987-07-24,37,Female,PA,+1-944-595-9091,raj95@hotmail.com,22,1,671.0,S
PH00037,Tom Thomas,06-06-1988,36,female,MD,3372058890,lisa608@gmail.com,7,1,584.0,single
PH00038,Fatima Jones,10/10/1979,45,M,NC,4941454179,anna445@hotmail.com,10,1,745.0,married
PH00039,YUKI DAVIS,08-20-1957,67,male,MO,+1-447-951-3905,michael989@outlook.com,9,0,724.0,Single
PH00040,James Miller,,64,FEMALE,NY,,nina226@yahoo.com,32,0,568.0,S
PH00041,Michael Thompson,20 Jul 1971,53,Male,VA,9881547293,sam511@yahoo.com,4,2,729.0,married
PH00042,Mark Johnson,1968-06-04,56,female,WA,,mark423@outlook.com,17,0,597.0,single
PH00043,James Thompson,01-04-1998,26,male,NJ,+1-437-390-0704,kevin368@hotmail.com,11,0,789.0,single
PH00044,Emma Smith,1988-08-07,36,male,IN,9539075546,kevin569@yahoo.com,12,0,641.0,M
PH00045,Carlos Brown,1974-01-07,50,female,GA,9918105601,raj778@yahoo.com,22,1,631.0,S
PH00046,Lisa Jackson,01-21-1969,55,Female,MA,+1-388-199-8839,chris518@gmail.com,6,0,741.0,S
PH00047,Chris Wilson,26 Dec 1993,31,M,IN,(692) 728-1074,yuki612@outlook.com,31,2,782.0,M
PH00048,Yuki Johnson,10-21-1963,61,FEMALE,NY,3973035155,elena201@yahoo.com,-4,2,545.0,Married
PH00049,Aisha Smith,1993-07-18,31,F,OH,3374702695,maria198@yahoo.com,2,4,694.0,Widowed
PH00050,Carlos Smith,1974-02-21,50,female,PA,5756817836,tom978@gmail.com,16,0,589.0,Widowed
PH00051,Anna Anderson,1990-11-18,34,FEMALE,NJ,,sarah957@gmail.com,-1,1,657.0,married
PH00052,Emma Anderson,04-26-1955,69,male,MO,,david90@hotmail.com,11,2,,Married
PH00053,Sarah Anderson,1973-02-20,51,F,NJ,(451) 190-1126,chris196@hotmail.com,17,0,529.0,Divorced
PH00054,Mark Robinson,03-16-1970,54,Male,VA,3581552665,tom266@yahoo.com,23,0,621.0,Widowed
PH00055,LISA WILSON,06/08/1960,64,f,WI,+1-285-395-2267,sam239@yahoo.com,13,1,731.0,M
PH00056,Fatima Miller,10/03/1980,44,male,FL,(731) 162-7822,aisha721@gmail.com,22,3,792.0,Widowed
PH00057,Fatima Smith,05-29-1979,45,F,VA,+1-289-306-9188,sam384@yahoo.com,5,0,715.0,Single
PH00058,Emma Harris,06/06/1993,31,Female,NY,5623920556,carlos565@outlook.com,20,1,649.0,Widowed
PH00059,Sarah Wilson,29/11/1996,28,F,OH,(326) 156-5330,michael176@hotmail.com,31,1,737.0,single
PH00060,Lisa Miller,17 Mar 1962,62,m,IL,,aisha790@hotmail.com,18,1,736.0,M
PH00061,Carlos Clark,27 Dec 1976,48,Female,MI,(857) 216-7506,james289@hotmail.com,16,1,746.0,married
PH00062,David Clark,09/09/1959,65,male,NJ,(569) 322-6117,priya690@yahoo.com,31,0,597.0,single
PH00063,LISA CLARK,12/12/1979,45,FEMALE,OH,,nina312@gmail.com,18,1,809.0,single
PH00064,Priya Smith,30/07/1956,68,M,MO,+1-836-556-6236,priya200@yahoo.com,9,1,798.0,Married
PH00065,Sarah Clark,03-25-1998,26,m,GA,,priya332@gmail.com,1,0,625.0,Single
PH00066,Emma Davis,15 Sep 1965,59,F,NC,+1-434-900-4401,elena59@yahoo.com,20,4,602.0,Married
PH00067,Kevin Garcia,07-02-1962,62,M,TN,4148171579,michael238@gmail.com,7,1,,Widowed
PH00068,Anna Harris,26/12/2000,24,female,AZ,8008243443,daniel494@outlook.com,11,0,751.0,S
PH00069,David Clark,1986-06-17,38,m,OH,+1-894-996-0819,david453@hotmail.com,29,3,718.0,Widowed
PH00070,David Davis,03-09-1975,49,M,TX,8644763998,tom787@hotmail.com,25,0,,Widowed
PH00071,Aisha Thomas,14 Jan 1992,32,M,MI,2106289718,daniel379@hotmail.com,13,3,633.0,Divorced
PH00072,David Robinson,03 Jul 1957,67,female,PA,,emma882@outlook.com,3,1,644.0,S
PH00073,Maria Miller,22/06/1984,40,f,OH,+1-793-765-0242,emma733@hotmail.com,13,0,646.0,M
PH00074,Sarah White,12/11/1999,25,f,IL,(348) 198-0899,james264@outlook.com,26,0,707.0,Widowed
PH00075,Daniel Robinson,1989-04-20,35,m,CA,7111884158,mark136@hotmail.com,15,2,541.0,married
PH00076,Sam Thomas,1994-01-10,30,F,NY,9862128097,aisha361@hotmail.com,11,1,,single
PH00077,MICHAEL WILLIAMS,11 Feb 1978,46,Female,GA,,michael761@yahoo.com,34,1,614.0,married
PH00078,Chris Martin,03-07-1964,60,Female,TN,(418) 923-1992,raj125@gmail.com,23,1,760.0,Single
PH00079,Lisa Anderson,01-15-1961,63,f,MA,,sarah1@gmail.com,12,0,759.0,single
PH00080,Anna Moore,16/07/1976,48,f,AZ,2522183769,emma215@gmail.com,22,0,737.0,Single
PH00081,James Jackson,07/02/1984,40,F,FL,,chris973@gmail.com,16,1,,Married
PH00082,Nina Clark,01 Oct 1961,63,MALE,IL,+1-386-475-2990,robert413@yahoo.com,16,0,680.0,S
PH00083,Sam Wilson,12-28-1995,29,f,OH,(823) 972-5427,tom748@hotmail.com,32,0,816.0,single
PH00084,Carlos Moore,08 Jun 1994,30,F,MD,4663923127,john785@hotmail.com,7,1,815.0,Married
PH00085,Emma Thomas,20/12/1990,34,FEMALE,NY,+1-437-189-8255,sarah60@outlook.com,32,0,826.0,Widowed
PH00086,Lisa Wilson,29/07/1982,42,MALE,CA,+1-322-263-7200,michael568@yahoo.com,30,0,642.0,married
PH00087,Anna Garcia,06-22-1968,56,Male,WA,5756685065,raj194@outlook.com,8,0,553.0,single
PH00088,Tom Thomas,04 Oct 1962,62,Male,VA,7112757351,david409@yahoo.com,9,3,648.0,S
PH00089,Daniel Clark,10/10/1983,41,F,TN,8019099345,anna174@hotmail.com,8,0,777.0,Married
PH00090,Nina Moore,13 Apr 1956,68,f,FL,,aisha648@yahoo.com,25,0,649.0,Married
PH00091,Daniel Miller,01 Jul 1993,31,FEMALE,MD,+1-200-536-7564,david331@yahoo.com,5,1,766.0,Widowed
PH00092,Zoe Martin,12-06-1986,38,Female,WI,+1-728-528-7038,mark8@hotmail.com,4,0,706.0,Divorced
PH00093,Sarah Brown,12-14-1995,29,M,CA,,emma310@yahoo.com,26,0,682.0,S
PH00094,Maria Clark,13/02/1960,64,Female,VA,+1-742-627-3151,david104@yahoo.com,3,0,780.0,S
PH00095,John Thompson,21 Jul 1979,45,m,MO,(214) 316-1891,zoe939@yahoo.com,27,0,566.0,S
PH00096,John Brown,,35,MALE,MI,(730) 260-5337,lisa764@yahoo.com,23,1,589.0,M
PH00097,Fatima Smith,07-17-2000,24,male,OH,+1-413-168-4740,robert418@yahoo.com,12,2,755.0,Single
PH00098,Fatima Brown,15/06/1971,53,F,IL,(696) 681-1430,michael811@gmail.com,28,3,773.0,M
PH00099,Sarah Robinson,12/12/1977,47,Male,IN,,daniel148@gmail.com,16,2,793.0,M
PH00100,Kevin Miller,22/04/1961,63,Female,AZ,2893876861,lisa451@hotmail.com,-4,0,536.0,single
PH00101,Michael Williams,18/03/1961,63,M,GA,5316344763,james43@outlook.com,4,1,708.0,S
PH00102,Fatima Harris,04 Oct 1969,55,male,MD,+1-983-223-8959,elena601@outlook.com,7,0,,S
PH00103,James Moore,11/11/1989,35,Male,MI,,priya635@hotmail.com,14,0,669.0,Widowed
PH00104,Raj Harris,1992-02-20,32,FEMALE,MD,3746832028,chris856@yahoo.com,31,2,664.0,single
PH00105,Priya Wilson,07-08-1961,63,M,OH,,kevin556@gmail.com,8,3,615.0,Single
PH00106,YUKI GARCIA,01-30-1986,38,Male,MO,7294076085,emma912@yahoo.com,6,0,675.0,Divorced
PH00107,Robert White,1963-08-15,61,Male,GA,+1-399-942-0676,david431@gmail.com,34,0,650.0,married
PH00108,JAMES HARRIS,09-27-1989,35,Male,OH,,michael559@gmail.com,16,1,507.0,Widowed
PH00109,Mark Harris,28/10/1970,54,FEMALE,VA,+1-718-144-2674,fatima443@yahoo.com,23,2,641.0,married
PH00110,Chris Garcia,02-13-1963,61,m,GA,+1-575-603-1012,aisha956@gmail.com,11,3,440.0,S
PH00111,Anna Martin,15/09/1997,27,male,NC,6268360955,nina757@hotmail.com,17,3,,single
PH00112,Daniel Smith,25 Jan 1991,33,MALE,AZ,,robert886@outlook.com,33,2,658.0,Widowed
PH00113,Aisha Thomas,14 Jan 1968,56,M,WI,(661) 296-4675,kevin664@hotmail.com,29,2,717.0,M
PH00114,Tom Garcia,31 Aug 1965,59,M,GA,5345259146,tom891@outlook.com,-2,4,850.0,M
PH00115,Nina Brown,10-09-1971,53,MALE,NJ,(524) 581-2848,john20@outlook.com,1,0,630.0,M
PH00116,Emma Brown,19 Feb 1988,36,M,TX,,michael478@outlook.com,6,0,655.0,single
PH00117,Fatima Anderson,06-24-1992,32,M,TN,+1-672-989-3369,raj737@yahoo.com,15,1,655.0,M
PH00118,Chris Johnson,04 Dec 1996,28,MALE,AZ,(973) 276-5039,mark892@outlook.com,25,0,622.0,Single
PH00119,Yuki Williams,08-10-1973,51,m,NY,(808) 454-0337,yuki572@outlook.com,17,4,789.0,Divorced
PH00120,Raj Jones,20/08/1999,25,male,GA,+1-780-827-5148,yuki302@outlook.com,32,1,646.0,Widowed
PH00121,Maria Harris,24 Jan 1992,32,Male,OH,+1-774-517-1783,fatima891@hotmail.com,1,1,649.0,Married
PH00122,David Brown,09-01-1960,64,f,WA,7525711962,aisha261@hotmail.com,32,1,755.0,Single
PH00123,Maria Thompson,1960-06-07,64,Female,GA,(922) 886-4273,mark429@gmail.com,14,1,695.0,married
PH00124,Priya Harris,02-08-1987,37,Male,MO,3482514022,anna367@yahoo.com,5,0,639.0,Single
PH00125,Anna Garcia,10-19-1990,34,M,WA,+1-902-404-3415,yuki719@gmail.com,27,0,658.0,Married
PH00126,Mark Martin,02-22-1961,63,female,MI,(392) 695-0225,mark178@hotmail.com,8,3,648.0,Divorced
PH00127,Aisha Johnson,1994-01-19,30,F,GA,+1-625-263-5856,sarah669@hotmail.com,22,2,687.0,Married
PH00128,Emma Johnson,1994-02-04,30,f,WA,,zoe41@hotmail.com,1,0,676.0,Widowed
PH00129,Sarah Smith,11-07-1956,68,f,OH,,zoe926@hotmail.com,31,0,627.0,M
PH00130,Zoe Johnson,17/01/1960,64,f,VA,+1-556-471-8018,aisha891@yahoo.com,17,0,674.0,Single
PH00131,Daniel Thompson,1976-02-16,48,Male,MI,(225) 225-7445,nina288@yahoo.com,18,1,,M
PH00132,Sam White,16 May 1968,56,Male,IN,(797) 543-0596,chris705@yahoo.com,4,2,781.0,Married
PH00133,MICHAEL HARRIS,08/07/1995,29,female,GA,,lisa648@outlook.com,14,1,688.0,Divorced
PH00134,FATIMA HARRIS,27/04/1977,47,Male,WA,8284233272,carlos423@gmail.com,8,2,724.0,Married
PH00135,MARK TAYLOR,06-14-2000,24,male,IN,6272554390,raj459@outlook.com,33,2,540.0,single
PH00136,,01 Jun 1980,44,m,CA,4223128059,maria558@hotmail.com,5,1,681.0,Single
PH00137,Anna Harris,04-20-1988,36,Male,NJ,2187794163,michael122@gmail.com,14,0,773.0,single
PH00138,John Wilson,1973-01-26,51,m,TN,3854394439,john469@hotmail.com,29,0,735.0,Single
PH00139,Mark Harris,28/11/1958,66,MALE,PA,+1-507-169-4873,priya222@outlook.com,17,0,566.0,single
PH00140,Priya Davis,10-05-1982,42,m,PA,+1-524-576-7130,david791@hotmail.com,29,1,785.0,married
PH00141,Elena Thomas,1958-10-13,66,MALE,FL,,lisa228@gmail.com,18,0,632.0,S
PH00142,Fatima Thomas,1998-10-08,26,m,WI,(701) 901-4228,sam855@hotmail.com,10,4,740.0,Married
PH00143,Raj Thompson,07/02/1973,51,male,MA,+1-633-187-3938,sam433@yahoo.com,1,0,646.0,married
PH00144,Chris Williams,1993-01-22,31,Female,FL,(844) 818-0577,chris799@gmail.com,25,0,670.0,single
PH00145,Fatima Thomas,17 Jul 1969,55,f,GA,+1-357-785-8243,anna594@gmail.com,13,1,718.0,M
PH00146,JOHN ANDERSON,08-03-1959,65,m,OH,(378) 843-2050,emma123@yahoo.com,22,0,659.0,Widowed
PH00147,Chris Clark,08/03/1955,69,Female,IL,(273) 958-9440,carlos294@outlook.com,35,1,521.0,S
PH00148,James Martin,1977-09-16,47,FEMALE,NC,+1-916-604-0788,mark932@outlook.com,-4,1,651.0,married
PH00149,Aisha Smith,11-24-1956,68,Male,NJ,(991) 157-1272,sarah281@yahoo.com,19,0,,married
PH00150,Emma Clark,07 Jun 1970,54,male,WA,(308) 980-7859,tom298@outlook.com,23,0,665.0,Widowed
PH00151,Raj Robinson,1960-09-06,64,Male,AZ,(259) 801-5527,carlos832@hotmail.com,3,2,,married
PH00152,Zoe White,13 Jan 1992,32,MALE,MA,+1-355-845-4861,michael313@outlook.com,6,0,632.0,Married
PH00153,Mark Davis,22 Jul 1975,49,m,NC,5738379127,priya482@yahoo.com,29,0,746.0,S
PH00154,CARLOS HARRIS,05-19-1975,49,FEMALE,TN,+1-642-683-8221,lisa870@hotmail.com,17,0,734.0,Widowed
PH00155,Maria Johnson,10-23-1991,33,MALE,TN,,james406@gmail.com,30,1,717.0,M
PH00156,Mark Jones,03/09/1957,67,Male,MD,(988) 650-2158,robert865@yahoo.com,4,0,,single
PH00157,Sarah Brown,1976-12-07,48,male,FL,+1-806-941-1305,david769@yahoo.com,18,0,,single
PH00158,Carlos Miller,22/02/1990,34,FEMALE,NC,+1-733-864-7412,chris602@gmail.com,7,3,641.0,Single
PH00159,CHRIS JACKSON,1984-05-24,40,FEMALE,IL,6817800194,nina676@outlook.com,19,1,778.0,single
PH00160,Yuki Williams,05-14-1986,38,M,MO,,sarah153@yahoo.com,11,0,622.0,single
PH00161,Mark Jackson,09 Oct 1993,31,FEMALE,PA,,yuki755@yahoo.com,11,0,755.0,Divorced
PH00162,Maria Clark,1999-04-13,25,FEMALE,MD,+1-475-972-5765,aisha889@yahoo.com,14,1,718.0,Divorced
PH00163,EMMA JOHNSON,06-08-1975,49,male,WI,,john409@hotmail.com,34,1,622.0,Married
PH00164,JOHN WILLIAMS,08-03-1957,67,m,FL,5339693298,john99@yahoo.com,20,4,744.0,married
PH00165,Lisa Wilson,04-16-1997,27,female,MI,,robert85@outlook.com,15,1,794.0,S
PH00166,Yuki Anderson,31 Jan 1958,66,male,CA,,carlos442@outlook.com,3,1,653.0,S
PH00167,Priya Williams,,57,M,FL,(339) 901-2679,sarah43@outlook.com,2,0,737.0,M
PH00168,Anna White,13 Oct 1991,33,FEMALE,NC,+1-824-863-7372,elena543@hotmail.com,27,0,850.0,Divorced
PH00169,James Thomas,1996-01-07,28,male,TN,(573) 491-1308,anna884@gmail.com,28,1,780.0,Widowed
PH00170,Carlos Moore,1974-08-28,50,male,PA,(373) 568-4215,nina529@outlook.com,22,1,585.0,single
PH00171,Maria Martin,15/12/1978,46,MALE,MO,+1-597-988-4483,sam681@yahoo.com,3,0,659.0,single
PH00172,Carlos Anderson,06/02/1955,69,MALE,NY,(924) 738-5080,zoe289@outlook.com,21,1,,married
PH00173,Mark Davis,18/07/2000,24,FEMALE,MA,5716237652,daniel508@hotmail.com,15,0,727.0,Divorced
PH00174,ZOE THOMPSON,23 Dec 1994,30,female,NC,(918) 802-1721,anna190@gmail.com,4,0,686.0,M
PH00175,ZOE GARCIA,09/03/1995,29,m,NJ,(611) 912-4127,robert898@outlook.com,9,1,768.0,Single
PH00176,Raj Martin,,56,female,FL,(924) 614-7982,zoe422@outlook.com,25,1,,married
PH00177,Elena Moore,08-26-1974,50,f,WA,,yuki743@gmail.com,7,0,606.0,married
PH00178,,1995-03-31,29,Female,TN,+1-506-778-9981,sarah780@gmail.com,16,0,,Married
PH00179,Fatima Anderson,06-14-1972,52,Female,WA,5704536234,sam486@gmail.com,20,1,,Widowed
PH00180,Michael Williams,13 Oct 1971,53,m,MI,,michael873@gmail.com,18,1,599.0,M
PH00181,Raj White,25 May 1960,64,f,MA,3081135989,anna490@yahoo.com,24,0,577.0,S
PH00182,Emma White,04/06/1962,62,f,GA,+1-972-603-3427,zoe401@hotmail.com,4,1,737.0,Widowed
PH00183,James Anderson,02-06-1961,63,Female,VA,4413399023,tom832@outlook.com,25,1,552.0,M
PH00184,Kevin Wilson,12-19-1963,61,MALE,MA,,michael187@gmail.com,24,0,,Divorced
PH00185,Elena Clark,22 Dec 1995,29,M,IL,(418) 114-5046,priya841@yahoo.com,9,2,658.0,M
PH00186,Tom Martin,29/02/1964,60,female,MO,(758) 465-6748,zoe305@outlook.com,19,1,694.0,single
PH00187,Yuki Garcia,1990-01-05,34,MALE,AZ,(858) 886-3551,michael209@outlook.com,31,1,666.0,S
PH00188,Raj Davis,07/09/1958,66,male,FL,(317) 924-7702,carlos782@yahoo.com,31,1,660.0,S
PH00189,Nina Harris,02-12-1975,49,FEMALE,IN,7455267277,fatima944@yahoo.com,21,0,696.0,Married
PH00190,Anna Jackson,11-30-1962,62,MALE,AZ,(413) 154-0053,emma206@yahoo.com,-5,0,680.0,married
PH00191,JOHN HARRIS,11-09-1956,68,female,TX,2493911272,fatima99@outlook.com,21,2,685.0,married
PH00192,DANIEL JONES,25 Sep 1988,36,FEMALE,NJ,7089589316,yuki373@outlook.com,20,0,782.0,Divorced
PH00193,Lisa Miller,,35,male,VA,3295068175,zoe104@outlook.com,26,0,748.0,M
PH00194,Carlos Jones,02-02-1963,61,M,WI,+1-434-767-6158,yuki546@outlook.com,8,0,736.0,Married
PH00195,JOHN THOMAS,1972-03-01,52,Male,TN,5014199763,elena448@yahoo.com,31,1,491.0,M
PH00196,Priya Garcia,08-14-1974,50,male,MD,,james290@outlook.com,26,2,587.0,M
PH00197,Nina Martin,24/05/1977,47,F,MI,(407) 632-0094,james169@yahoo.com,5,0,646.0,Divorced
PH00198,John Jones,07 Sep 1984,40,m,FL,4407118585,elena284@gmail.com,13,0,693.0,Widowed
PH00199,Raj Garcia,24 Apr 1983,41,Female,PA,+1-547-509-2152,priya430@yahoo.com,24,0,560.0,M
PH00200,Maria Wilson,12-14-1967,57,male,TX,(790) 315-0963,raj574@hotmail.com,1,1,817.0,S
PH00201,Daniel White,28/08/1958,66,Male,FL,,chris846@hotmail.com,7,0,,Widowed
PH00202,CARLOS MOORE,05-25-1967,57,Female,GA,+1-931-418-5862,sarah319@outlook.com,17,4,749.0,Divorced
PH00203,Sarah Jones,08-29-1956,68,F,NY,4722725970,john166@hotmail.com,23,0,697.0,Married
PH00204,JOHN JONES,11-23-1973,51,M,TX,(717) 665-2502,raj169@hotmail.com,22,0,850.0,Widowed
PH00205,Emma Anderson,1995-06-11,29,female,CA,,anna162@hotmail.com,21,1,627.0,single
PH00206,,12/04/1965,59,female,GA,(568) 848-9163,david288@gmail.com,34,0,723.0,Divorced
PH00207,Daniel Clark,1990-11-09,34,M,OH,(804) 383-8350,robert687@hotmail.com,18,4,735.0,single
PH00208,Sarah White,20 Dec 1982,42,Male,MO,(799) 637-0867,john213@hotmail.com,2,0,773.0,Married
PH00209,Kevin Thompson,04 Dec 1983,41,M,PA,(374) 225-9724,david132@hotmail.com,19,1,769.0,Divorced
PH00210,Sarah White,31 Mar 1957,67,female,NC,(821) 315-9801,mark543@hotmail.com,28,0,735.0,single
PH00211,,16/08/1960,64,female,NC,7926986614,priya860@gmail.com,35,0,706.0,married
PH00212,Chris Anderson,11-23-1956,68,m,OH,+1-954-447-6757,elena1@hotmail.com,21,0,677.0,married
PH00213,Carlos Thomas,29/12/1993,31,male,IL,(217) 557-6402,anna879@hotmail.com,26,3,590.0,Widowed
PH00214,Sarah White,10 Mar 1994,30,f,MO,2703120293,lisa928@gmail.com,14,0,725.0,Divorced
PH00215,Robert Johnson,01 Sep 1987,37,female,VA,+1-202-364-9925,chris210@hotmail.com,4,0,722.0,M
PH00216,CARLOS TAYLOR,1959-02-08,65,male,NJ,4657706621,emma449@hotmail.com,15,0,708.0,married
PH00217,Michael White,03-28-1971,53,m,NY,9304443876,raj320@yahoo.com,29,4,623.0,Single
PH00218,ZOE JACKSON,14/03/1974,50,female,AZ,4453524262,nina282@gmail.com,15,0,,M
PH00219,Michael Moore,03-06-1996,28,m,FL,+1-317-277-1009,david444@hotmail.com,22,1,587.0,Divorced
PH00220,,08-04-1978,46,female,MO,(348) 339-7058,sarah618@gmail.com,10,2,696.0,married
PH00221,CHRIS MILLER,12-19-1975,49,MALE,AZ,+1-387-914-7155,john283@outlook.com,6,0,638.0,S
PH00222,,07-18-1974,50,f,IL,+1-202-525-4955,carlos930@gmail.com,1,1,543.0,Widowed
PH00223,Maria Wilson,12-24-1985,39,f,WI,+1-803-998-2163,yuki272@hotmail.com,34,2,584.0,married
PH00224,Elena Thomas,02-17-1967,57,FEMALE,IN,9125395137,sam211@yahoo.com,13,0,463.0,Single
PH00225,ELENA ANDERSON,11/01/1980,44,FEMALE,PA,(746) 280-3977,sam580@outlook.com,33,3,620.0,S
PH00226,Carlos Moore,16/12/1971,53,M,PA,(387) 621-8454,sarah212@hotmail.com,9,2,540.0,S
PH00227,DANIEL GARCIA,21/05/1986,38,Male,MI,(426) 483-7261,lisa404@yahoo.com,28,0,699.0,Widowed
PH00228,Nina Anderson,07-03-1965,59,m,FL,+1-316-627-8348,lisa641@outlook.com,24,1,567.0,Married
PH00229,Elena Robinson,1972-02-05,52,FEMALE,MA,,chris133@outlook.com,1,0,742.0,M
PH00230,Priya Jackson,28 Nov 1976,48,female,NJ,9384289255,priya430@yahoo.com,2,0,731.0,married
PH00231,Michael Garcia,28/03/1979,45,m,NJ,6683713236,nina296@yahoo.com,2,0,601.0,Married
PH00232,Anna Clark,08-10-1995,29,Female,FL,7382072406,priya285@yahoo.com,24,2,655.0,married
PH00233,Lisa Clark,22 Jan 1985,39,M,TN,(483) 700-9397,michael148@yahoo.com,6,0,686.0,single
PH00234,Carlos Taylor,1976-03-21,48,Male,MI,9136883738,priya133@yahoo.com,33,1,727.0,married
PH00235,David Moore,25/06/1957,67,M,TN,,robert560@hotmail.com,30,3,622.0,Married
PH00236,Sam Robinson,07/11/1988,36,Male,TX,+1-297-800-1123,elena692@yahoo.com,11,3,639.0,married
PH00237,Anna Thomas,1986-06-18,38,male,GA,+1-611-664-2429,anna270@outlook.com,29,0,625.0,Married
PH00238,,03-29-1981,43,M,GA,9029438167,priya197@gmail.com,32,3,649.0,M
PH00239,Fatima Robinson,05-14-1966,58,F,GA,(356) 632-0908,anna149@gmail.com,21,0,627.0,single
PH00240,Mark Wilson,05-31-1958,66,Male,MA,3699323859,nina995@gmail.com,34,1,683.0,Divorced
PH00241,Anna White,21/10/1961,63,Male,OH,+1-735-843-4181,michael437@yahoo.com,24,3,850.0,Married
PH00242,DANIEL HARRIS,01 Oct 1987,37,MALE,WA,3574120439,sarah806@gmail.com,14,2,719.0,Single
PH00243,Tom Jones,06-25-1972,52,F,TX,(307) 643-2434,maria350@gmail.com,23,1,683.0,Widowed
PH00244,Nina Johnson,10 Oct 1974,50,M,MD,2573479839,anna265@hotmail.com,35,2,709.0,single
PH00245,Daniel Martin,04/06/1976,48,male,NJ,7022769747,sarah29@yahoo.com,33,0,585.0,Married
PH00246,Carlos Jones,1979-11-23,45,female,WI,(844) 403-5200,kevin654@outlook.com,26,2,,married
PH00247,Fatima Smith,10 Jan 1963,61,Female,GA,(725) 651-2564,fatima224@hotmail.com,1,2,644.0,Married
