policyholder_id,full_name,date_of_birth,age,gender,state,phone,email,license_years,prior_claims_count,credit_score,marital_status
PH00059,Sarah Wilson,1996-11-29,28,Female,OH,3261565330,michael176@hotmail.com,31,1,737,Single
PH00060,Lisa Miller,1962-03-17,62,Male,IL,,aisha790@hotmail.com,18,1,736,Married
PH00061,Carlos Clark,1976-12-27,48,Unknown,MI,8572167506,james289@hotmail.com,16,1,746,Married
PH00062,David Clark,1959-09-09,65,Male,NJ,5693226117,priya690@yahoo.com,31,0,597,Single
PH00063,LISA CLARK,1979-12-12,45,Female,OH,,nina312@gmail.com,18,1,809,Single
PH00064,Priya Smith,1956-07-30,68,Male,MO,8365566236,priya200@yahoo.com,9,1,798,Unknown
PH00065,Sarah Clark,1998-03-25,26,Male,GA,,priya332@gmail.com,1,0,625,Unknown
PH00066,Emma Davis,1965-09-15,59,Female,NC,4349004401,elena59@yahoo.com,20,4,602,Unknown
PH00067,Kevin Garcia,1962-07-02,62,Male,TN,4148171579,michael238@gmail.com,7,1,680,Unknown
PH00068,Anna Harris,2000-12-26,24,Female,AZ,8008243443,daniel494@outlook.com,11,0,751,Single
PH00069,David Clark,1986-06-17,38,Male,OH,8949960819,david453@hotmail.com,29,3,718,Unknown
PH00070,David Davis,1975-03-09,49,Male,TX,8644763998,tom787@hotmail.com,25,0,680,Unknown
PH00071,Aisha Thomas,1992-01-14,32,Male,MI,2106289718,daniel379@hotmail.com,13,3,633,Unknown
PH00072,David Robinson,1957-07-03,67,Female,PA,,emma882@outlook.com,3,1,644,Single
PH00073,Maria Miller,1984-06-22,40,Female,OH,7937650242,emma733@hotmail.com,13,0,646,Married
PH00074,Sarah White,1999-11-12,25,Female,IL,3481980899,james264@outlook.com,26,0,707,Unknown
PH00075,Daniel Robinson,1989-04-20,35,Male,CA,7111884158,mark136@hotmail.com,15,2,541,Married
PH00076,Sam Thomas,1994-01-10,30,Female,NY,9862128097,aisha361@hotmail.com,11,1,680,Single
PH00077,MICHAEL WILLIAMS,1978-02-11,46,Unknown,GA,,michael761@yahoo.com,34,1,614,Married
PH00078,Chris Martin,1964-03-07,60,Unknown,TN,4189231992,raj125@gmail.com,23,1,760,Unknown
PH00079,Lisa Anderson,1961-01-15,63,Female,MA,,sarah1@gmail.com,12,0,759,Single
PH00080,Anna Moore,1976-07-16,48,Female,AZ,2522183769,emma215@gmail.com,22,0,737,Unknown
PH00081,James Jackson,1984-02-07,40,Female,FL,,chris973@gmail.com,16,1,680,Unknown
PH00082,Nina Clark,1961-10-01,63,Male,IL,3864752990,robert413@yahoo.com,16,0,680,Single
PH00083,Sam Wilson,1995-12-28,29,Female,OH,8239725427,tom748@hotmail.com,32,0,816,Single
PH00084,Carlos Moore,1994-06-08,30,Female,MD,4663923127,john785@hotmail.com,7,1,815,Unknown
PH00085,Emma Thomas,1990-12-20,34,Female,NY,4371898255,sarah60@outlook.com,32,0,826,Unknown
PH00086,Lisa Wilson,1982-07-29,42,Male,CA,3222637200,michael568@yahoo.com,30,0,642,Married
PH00087,Anna Garcia,1968-06-22,56,Unknown,WA,5756685065,raj194@outlook.com,8,0,553,Single
PH00088,Tom Thomas,1962-10-04,62,Unknown,VA,7112757351,david409@yahoo.com,9,3,648,Single
PH00089,Daniel Clark,1983-10-10,41,Female,TN,8019099345,anna174@hotmail.com,8,0,777,Unknown
PH00090,Nina Moore,1956-04-13,68,Female,FL,,aisha648@yahoo.com,25,0,649,Unknown
PH00091,Daniel Miller,1993-07-01,31,Female,MD,2005367564,david331@yahoo.com,5,1,766,Unknown
PH00092,Zoe Martin,1986-12-06,38,Unknown,WI,7285287038,mark8@hotmail.com,4,0,706,Unknown
PH00093,Sarah Brown,1995-12-14,29,Male,CA,,emma310@yahoo.com,26,0,682,Single
PH00094,Maria Clark,1960-02-13,64,Unknown,VA,7426273151,david104@yahoo.com,3,0,780,Single
PH00095,John Thompson,1979-07-21,45,Male,MO,2143161891,zoe939@yahoo.com,27,0,566,Single
PH00096,John Brown,,35,Male,MI,7302605337,lisa764@yahoo.com,23,1,589,Married
PH00097,Fatima Smith,2000-07-17,24,Male,OH,4131684740,robert418@yahoo.com,12,2,755,Unknown
PH00098,Fatima Brown,1971-06-15,53,Female,IL,6966811430,michael811@gmail.com,28,3,773,Married
PH00099,Sarah Robinson,1977-12-12,47,Unknown,IN,,daniel148@gmail.com,16,2,793,Married
PH00100,Kevin Miller,1961-04-22,63,Unknown,AZ,2893876861,lisa451@hotmail.com,-4,0,536,Single
PH00101,Michael Williams,1961-03-18,63,Male,GA,5316344763,james43@outlook.com,4,1,708,Single
PH00102,Fatima Harris,1969-10-04,55,Male,MD,9832238959,elena601@outlook.com,7,0,680,Single
PH00103,James Moore,1989-11-11,35,Unknown,MI,,priya635@hotmail.com,14,0,669,Unknown
PH00104,Raj Harris,1992-02-20,32,Female,MD,3746832028,chris856@yahoo.com,31,2,664,Single
PH00105,Priya Wilson,1961-07-08,63,Male,OH,,kevin556@gmail.com,8,3,615,Unknown
PH00106,YUKI GARCIA,1986-01-30,38,Unknown,MO,7294076085,emma912@yahoo.com,6,0,675,Unknown
PH00107,Robert White,1963-08-15,61,Unknown,GA,3999420676,david431@gmail.com,34,0,650,Married
PH00108,JAMES HARRIS,1989-09-27,35,Unknown,OH,,michael559@gmail.com,16,1,507,Unknown
PH00109,Mark Harris,1970-10-28,54,Female,VA,7181442674,fatima443@yahoo.com,23,2,641,Married
PH00110,Chris Garcia,1963-02-13,61,Male,GA,5756031012,aisha956@gmail.com,11,3,440,Single
PH00111,Anna Martin,1997-09-15,27,Male,NC,6268360955,nina757@hotmail.com,17,3,680,Single
PH00112,Daniel Smith,1991-01-25,33,Male,AZ,,robert886@outlook.com,33,2,658,Unknown
PH00113,Aisha Thomas,1968-01-14,56,Male,WI,6612964675,kevin664@hotmail.com,29,2,717,Married
PH00114,Tom Garcia,1965-08-31,59,Male,GA,5345259146,tom891@outlook.com,-2,4,850,Married
PH00115,Nina Brown,1971-10-09,53,Male,NJ,5245812848,john20@outlook.com,1,0,630,Married
PH00116,Emma Brown,1988-02-19,36,Male,TX,,michael478@outlook.com,6,0,655,Single
PH00117,Fatima Anderson,1992-06-24,32,Male,TN,6729893369,raj737@yahoo.com,15,1,655,Married
PH00118,Chris Johnson,1996-12-04,28,Male,AZ,9732765039,mark892@outlook.com,25,0,622,Unknown
PH00119,Yuki Williams,1973-08-10,51,Male,NY,8084540337,yuki572@outlook.com,17,4,789,Unknown
PH00120,Raj Jones,1999-08-20,25,Male,GA,7808275148,yuki302@outlook.com,32,1,646,Unknown
PH00121,Maria Harris,1992-01-24,32,Unknown,OH,7745171783,fatima891@hotmail.com,1,1,649,Unknown
PH00122,David Brown,1960-09-01,64,Female,WA,7525711962,aisha261@hotmail.com,32,1,755,Unknown
PH00123,Maria Thompson,1960-06-07,64,Unknown,GA,9228864273,mark429@gmail.com,14,1,695,Married
PH00124,Priya Harris,1987-02-08,37,Unknown,MO,3482514022,anna367@yahoo.com,5,0,639,Unknown
PH00125,Anna Garcia,1990-10-19,34,Male,WA,9024043415,yuki719@gmail.com,27,0,658,Unknown
PH00126,Mark Martin,1961-02-22,63,Female,MI,3926950225,mark178@hotmail.com,8,3,648,Unknown
PH00127,Aisha Johnson,1994-01-19,30,Female,GA,6252635856,sarah669@hotmail.com,22,2,687,Unknown
PH00128,Emma Johnson,1994-02-04,30,Female,WA,,zoe41@hotmail.com,1,0,676,Unknown
PH00129,Sarah Smith,1956-11-07,68,Female,OH,,zoe926@hotmail.com,31,0,627,Married
PH00130,Zoe Johnson,1960-01-17,64,Female,VA,5564718018,aisha891@yahoo.com,17,0,674,Unknown
PH00131,Daniel Thompson,1976-02-16,48,Unknown,MI,2252257445,nina288@yahoo.com,18,1,680,Married
PH00132,Sam White,1968-05-16,56,Unknown,IN,7975430596,chris705@yahoo.com,4,2,781,Unknown
PH00133,MICHAEL HARRIS,1995-07-08,29,Female,GA,,lisa648@outlook.com,14,1,688,Unknown
PH00134,FATIMA HARRIS,1977-04-27,47,Unknown,WA,8284233272,carlos423@gmail.com,8,2,724,Unknown
PH00135,MARK TAYLOR,2000-06-14,24,Male,IN,6272554390,raj459@outlook.com,33,2,540,Single
PH00137,Anna Harris,1988-04-20,36,Unknown,NJ,2187794163,michael122@gmail.com,14,0,773,Single
PH00138,John Wilson,1973-01-26,51,Male,TN,3854394439,john469@hotmail.com,29,0,735,Unknown
PH00139,Mark Harris,1958-11-28,66,Male,PA,5071694873,priya222@outlook.com,17,0,566,Single
PH00140,Priya Davis,1982-10-05,42,Male,PA,5245767130,david791@hotmail.com,29,1,785,Married
PH00141,Elena Thomas,1958-10-13,66,Male,FL,,lisa228@gmail.com,18,0,632,Single
PH00142,Fatima Thomas,1998-10-08,26,Male,WI,7019014228,sam855@hotmail.com,10,4,740,Unknown
PH00143,Raj Thompson,1973-02-07,51,Male,MA,6331873938,sam433@yahoo.com,1,0,646,Married
PH00144,Chris Williams,1993-01-22,31,Unknown,FL,8448180577,chris799@gmail.com,25,0,670,Single
PH00145,Fatima Thomas,1969-07-17,55,Female,GA,3577858243,anna594@gmail.com,13,1,718,Married
PH00146,JOHN ANDERSON,1959-08-03,65,Male,OH,3788432050,emma123@yahoo.com,22,0,659,Unknown
PH00147,Chris Clark,1955-03-08,69,Unknown,IL,2739589440,carlos294@outlook.com,35,1,521,Single
PH00148,James Martin,1977-09-16,47,Female,NC,9166040788,mark932@outlook.com,-4,1,651,Married
PH00149,Aisha Smith,1956-11-24,68,Unknown,NJ,9911571272,sarah281@yahoo.com,19,0,680,Married
PH00150,Emma Clark,1970-06-07,54,Male,WA,3089807859,tom298@outlook.com,23,0,665,Unknown
PH00151,Raj Robinson,1960-09-06,64,Unknown,AZ,2598015527,carlos832@hotmail.com,3,2,680,Married
PH00152,Zoe White,1992-01-13,32,Male,MA,3558454861,michael313@outlook.com,6,0,632,Unknown
PH00153,Mark Davis,1975-07-22,49,Male,NC,5738379127,priya482@yahoo.com,29,0,746,Single
PH00154,CARLOS HARRIS,1975-05-19,49,Female,TN,6426838221,lisa870@hotmail.com,17,0,734,Unknown
PH00155,Maria Johnson,1991-10-23,33,Male,TN,,james406@gmail.com,30,1,717,Married
PH00156,Mark Jones,1957-09-03,67,Unknown,MD,9886502158,robert865@yahoo.com,4,0,680,Single
PH00157,Sarah Brown,1976-12-07,48,Male,FL,8069411305,david769@yahoo.com,18,0,680,Single
PH00158,Carlos Miller,1990-02-22,34,Female,NC,7338647412,chris602@gmail.com,7,3,641,Unknown
PH00159,CHRIS JACKSON,1984-05-24,40,Female,IL,6817800194,nina676@outlook.com,19,1,778,Single
PH00160,Yuki Williams,1986-05-14,38,Male,MO,,sarah153@yahoo.com,11,0,622,Single
PH00161,Mark Jackson,1993-10-09,31,Female,PA,,yuki755@yahoo.com,11,0,755,Unknown
PH00162,Maria Clark,1999-04-13,25,Female,MD,4759725765,aisha889@yahoo.com,14,1,718,Unknown
PH00163,EMMA JOHNSON,1975-06-08,49,Male,WI,,john409@hotmail.com,34,1,622,Unknown
PH00164,JOHN WILLIAMS,1957-08-03,67,Male,FL,5339693298,john99@yahoo.com,20,4,744,Married
PH00165,Lisa Wilson,1997-04-16,27,Female,MI,,robert85@outlook.com,15,1,794,Single
PH00166,Yuki Anderson,1958-01-31,66,Male,CA,,carlos442@outlook.com,3,1,653,Single
PH00167,Priya Williams,,57,Male,FL,3399012679,sarah43@outlook.com,2,0,737,Married
PH00168,Anna White,1991-10-13,33,Female,NC,8248637372,elena543@hotmail.com,27,0,850,Unknown
PH00169,James Thomas,1996-01-07,28,Male,TN,5734911308,anna884@gmail.com,28,1,780,Unknown
PH00170,Carlos Moore,1974-08-28,50,Male,PA,3735684215,nina529@outlook.com,22,1,585,Single
PH00171,Maria Martin,1978-12-15,46,Male,MO,5979884483,sam681@yahoo.com,3,0,659,Single
PH00172,Carlos Anderson,1955-02-06,69,Male,NY,9247385080,zoe289@outlook.com,21,1,680,Married
PH00173,Mark Davis,2000-07-18,24,Female,MA,5716237652,daniel508@hotmail.com,15,0,727,Unknown
PH00174,ZOE THOMPSON,1994-12-23,30,Female,NC,9188021721,anna190@gmail.com,4,0,686,Married
PH00175,ZOE GARCIA,1995-03-09,29,Male,NJ,6119124127,robert898@outlook.com,9,1,768,Unknown
PH00176,Raj Martin,,56,Female,FL,9246147982,zoe422@outlook.com,25,1,680,Married
PH00177,Elena Moore,1974-08-26,50,Female,WA,,yuki743@gmail.com,7,0,606,Married
PH00179,Fatima Anderson,1972-06-14,52,Unknown,WA,5704536234,sam486@gmail.com,20,1,680,Unknown
PH00180,Michael Williams,1971-10-13,53,Male,MI,,michael873@gmail.com,18,1,599,Married
PH00181,Raj White,1960-05-25,64,Female,MA,3081135989,anna490@yahoo.com,24,0,577,Single
PH00182,Emma White,1962-06-04,62,Female,GA,9726033427,zoe401@hotmail.com,4,1,737,Unknown
PH00183,James Anderson,1961-02-06,63,Unknown,VA,4413399023,tom832@outlook.com,25,1,552,Married
PH00184,Kevin Wilson,1963-12-19,61,Male,MA,,michael187@gmail.com,24,0,680,Unknown
PH00185,Elena Clark,1995-12-22,29,Male,IL,4181145046,priya841@yahoo.com,9,2,658,Married
PH00186,Tom Martin,1964-02-29,60,Female,MO,7584656748,zoe305@outlook.com,19,1,694,Single
PH00187,Yuki Garcia,1990-01-05,34,Male,AZ,8588863551,michael209@outlook.com,31,1,666,Single
PH00188,Raj Davis,1958-09-07,66,Male,FL,3179247702,carlos782@yahoo.com,31,1,660,Single
PH00189,Nina Harris,1975-02-12,49,Female,IN,7455267277,fatima944@yahoo.com,21,0,696,Unknown
PH00190,Anna Jackson,1962-11-30,62,Male,AZ,4131540053,emma206@yahoo.com,-5,0,680,Married
PH00191,JOHN HARRIS,1956-11-09,68,Female,TX,2493911272,fatima99@outlook.com,21,2,685,Married
PH00192,DANIEL JONES,1988-09-25,36,Female,NJ,7089589316,yuki373@outlook.com,20,0,782,Unknown
PH00193,Lisa Miller,,35,Male,VA,3295068175,zoe104@outlook.com,26,0,748,Married
PH00194,Carlos Jones,1963-02-02,61,Male,WI,4347676158,yuki546@outlook.com,8,0,736,Unknown
PH00195,JOHN THOMAS,1972-03-01,52,Unknown,TN,5014199763,elena448@yahoo.com,31,1,491,Married
PH00196,Priya Garcia,1974-08-14,50,Male,MD,,james290@outlook.com,26,2,587,Married
PH00197,Nina Martin,1977-05-24,47,Female,MI,4076320094,james169@yahoo.com,5,0,646,Unknown
PH00198,John Jones,1984-09-07,40,Male,FL,4407118585,elena284@gmail.com,13,0,693,Unknown
PH00199,Raj Garcia,1983-04-24,41,Unknown,PA,5475092152,priya430@yahoo.com,24,0,560,Married
PH00200,Maria Wilson,1967-12-14,57,Male,TX,7903150963,raj574@hotmail.com,1,1,817,Single
PH00201,Daniel White,1958-08-28,66,Unknown,FL,,chris846@hotmail.com,7,0,680,Unknown
PH00202,CARLOS MOORE,1967-05-25,57,Unknown,GA,9314185862,sarah319@outlook.com,17,4,749,Unknown
PH00203,Sarah Jones,1956-08-29,68,Female,NY,4722725970,john166@hotmail.com,23,0,697,Unknown
PH00204,JOHN JONES,1973-11-23,51,Male,TX,7176652502,raj169@hotmail.com,22,0,850,Unknown
PH00205,Emma Anderson,1995-06-11,29,Female,CA,,anna162@hotmail.com,21,1,627,Single
PH00207,Daniel Clark,1990-11-09,34,Male,OH,8043838350,robert687@hotmail.com,18,4,735,Single
PH00208,Sarah White,1982-12-20,42,Unknown,MO,7996370867,john213@hotmail.com,2,0,773,Unknown
PH00209,Kevin Thompson,1983-12-04,41,Male,PA,3742259724,david132@hotmail.com,19,1,769,Unknown
PH00210,Sarah White,1957-03-31,67,Female,NC,8213159801,mark543@hotmail.com,28,0,735,Single
PH00212,Chris Anderson,1956-11-23,68,Male,OH,9544476757,elena1@hotmail.com,21,0,677,Married
PH00213,Carlos Thomas,1993-12-29,31,Male,IL,2175576402,anna879@hotmail.com,26,3,590,Unknown
PH00214,Sarah White,1994-03-10,30,Female,MO,2703120293,lisa928@gmail.com,14,0,725,Unknown
PH00215,Robert Johnson,1987-09-01,37,Female,VA,2023649925,chris210@hotmail.com,4,0,722,Married
PH00216,CARLOS TAYLOR,1959-02-08,65,Male,NJ,4657706621,emma449@hotmail.com,15,0,708,Married
PH00217,Michael White,1971-03-28,53,Male,NY,9304443876,raj320@yahoo.com,29,4,623,Unknown
PH00218,ZOE JACKSON,1974-03-14,50,Female,AZ,4453524262,nina282@gmail.com,15,0,680,Married
PH00219,Michael Moore,1996-03-06,28,Male,FL,3172771009,david444@hotmail.com,22,1,587,Unknown
PH00221,CHRIS MILLER,1975-12-19,49,Male,AZ,3879147155,john283@outlook.com,6,0,638,Single
PH00223,Maria Wilson,1985-12-24,39,Female,WI,8039982163,yuki272@hotmail.com,34,2,584,Married
PH00224,Elena Thomas,1967-02-17,57,Female,IN,9125395137,sam211@yahoo.com,13,0,463,Unknown
PH00225,ELENA ANDERSON,1980-01-11,44,Female,PA,7462803977,sam580@outlook.com,33,3,620,Single
PH00226,Carlos Moore,1971-12-16,53,Male,PA,3876218454,sarah212@hotmail.com,9,2,540,Single
PH00227,DANIEL GARCIA,1986-05-21,38,Unknown,MI,4264837261,lisa404@yahoo.com,28,0,699,Unknown
PH00228,Nina Anderson,1965-07-03,59,Male,FL,3166278348,lisa641@outlook.com,24,1,567,Unknown
PH00229,Elena Robinson,1972-02-05,52,Female,MA,,chris133@outlook.com,1,0,742,Married
PH00230,Priya Jackson,1976-11-28,48,Female,NJ,9384289255,priya430@yahoo.com,2,0,731,Married
PH00231,Michael Garcia,1979-03-28,45,Male,NJ,6683713236,nina296@yahoo.com,2,0,601,Unknown
PH00232,Anna Clark,1995-08-10,29,Unknown,FL,7382072406,priya285@yahoo.com,24,2,655,Married
PH00233,Lisa Clark,1985-01-22,39,Male,TN,4837009397,michael148@yahoo.com,6,0,686,Single
PH00234,Carlos Taylor,1976-03-21,48,Unknown,MI,9136883738,priya133@yahoo.com,33,1,727,Married
PH00235,David Moore,1957-06-25,67,Male,TN,,robert560@hotmail.com,30,3,622,Unknown
PH00236,Sam Robinson,1988-11-07,36,Unknown,TX,2978001123,elena692@yahoo.com,11,3,639,Married
PH00237,Anna Thomas,1986-06-18,38,Male,GA,6116642429,anna270@outlook.com,29,0,625,Unknown
PH00239,Fatima Robinson,1966-05-14,58,Female,GA,3566320908,anna149@gmail.com,21,0,627,Single
PH00240,Mark Wilson,1958-05-31,66,Unknown,MA,3699323859,nina995@gmail.com,34,1,683,Unknown
PH00241,Anna White,1961-10-21,63,Unknown,OH,7358434181,michael437@yahoo.com,24,3,850,Unknown
PH00242,DANIEL HARRIS,1987-10-01,37,Male,WA,3574120439,sarah806@gmail.com,14,2,719,Unknown
PH00243,Tom Jones,1972-06-25,52,Female,TX,3076432434,maria350@gmail.com,23,1,683,Unknown
PH00244,Nina Johnson,1974-10-10,50,Male,MD,2573479839,anna265@hotmail.com,35,2,709,Single
PH00245,Daniel Martin,1976-06-04,48,Male,NJ,7022769747,sarah29@yahoo.com,33,0,585,Unknown
PH00246,Carlos Jones,1979-11-23,45,Female,WI,8444035200,kevin654@outlook.com,26,2,680,Married
PH00247,Fatima Smith,1963-01-10,61,Unknown,GA,7256512564,fatima224@hotmail.com,1,2,644,Unknown
PH00248,JAMES JOHNSON,1964-02-05,60,Male,NJ,7347145962,sam867@yahoo.com,17,0,850,Unknown
PH00249,Chris Williams,1961-05-07,63,Male,TX,3629006638,emma655@hotmail.com,5,3,641,Married
PH00250,Yuki Robinson,1994-10-07,30,Male,GA,,sam552@hotmail.com,8,0,489,Unknown
PH00251,Zoe Johnson,1989-10-12,35,Male,WI,4392877547,tom205@outlook.com,29,0,750,Married
PH00252,Fatima Moore,1973-06-01,51,Male,IL,2105851280,daniel670@yahoo.com,2,0,647,Single
PH00253,Robert Thomas,1964-09-01,60,Female,WI,8752044773,sam243@hotmail.com,1,0,773,Single
PH00254,ROBERT MILLER,1963-05-12,61,Unknown,FL,5346321515,sam872@gmail.com,24,1,716,Married
PH00255,Sam Harris,1972-02-17,52,Male,NY,2664491555,chris214@gmail.com,19,0,655,Married
PH00256,Lisa Anderson,1978-01-17,46,Female,TX,3408452611,michael159@hotmail.com,9,1,759,Single
PH00257,James Clark,1958-12-10,66,Male,VA,2688592866,maria226@yahoo.com,26,1,758,Unknown
PH00258,Lisa Williams,1984-03-07,40,Female,VA,2951944159,daniel244@yahoo.com,25,4,770,Unknown
PH00259,Mark Harris,1998-10-22,26,Male,NC,2026098480,fatima455@gmail.com,20,0,719,Married
PH00260,Anna Robinson,2000-07-31,24,Female,NJ,7087031287,robert724@outlook.com,26,0,717,Unknown
PH00261,Aisha Thomas,1969-01-04,55,Female,CA,,chris470@outlook.com,23,0,827,Married
PH00262,Raj Martin,,55,Male,NC,9594184255,kevin542@yahoo.com,16,0,744,Single
PH00263,Elena Davis,1983-07-14,41,Unknown,GA,6465055336,emma871@hotmail.com,19,0,638,Unknown
PH00264,Michael Thomas,1978-01-18,46,Male,GA,2301557960,emma264@hotmail.com,26,0,796,Unknown
PH00265,SAM SMITH,1960-07-28,64,Female,VA,,raj477@yahoo.com,15,0,612,Unknown
PH00266,JOHN JONES,1981-01-08,43,Male,IL,7448329349,james31@yahoo.com,-1,0,674,Unknown
PH00267,Aisha Jackson,1972-01-22,52,Unknown,NY,,kevin515@gmail.com,30,0,648,Unknown
PH00268,Lisa Taylor,1999-08-03,25,Unknown,WI,3347363148,sarah306@yahoo.com,12,0,683,Married
